phi : -83.144487  x : 7.939305  y : 0.006096  deg : 141.764415
phi : -83.127266  x : 7.935245  y : 0.005638  deg : 146.774151
phi : -83.143550  x : 7.940286  y : 0.005850  deg : 144.904780
phi : -83.156039  x : 7.943382  y : 0.006590  deg : 135.110856
phi : -83.162955  x : 7.933300  y : 0.006338  deg : 144.822205
phi : -83.153334  x : 7.944463  y : 0.007189  deg : 129.874116
phi : -83.137362  x : 7.939278  y : 0.005822  deg : 145.522958
phi : -83.114106  x : 7.943359  y : 0.006386  deg : 137.817658
phi : -83.153400  x : 7.942458  y : 0.007277  deg : 130.792564
phi : -83.142217  x : 7.935442  y : 0.007564  deg : 136.567111
phi : -83.146536  x : 7.946443  y : 0.006905  deg : 129.903528
phi : -83.191691  x : 7.942293  y : 0.005822  deg : 142.988796
phi : -83.139417  x : 7.942426  y : 0.007018  deg : 133.799899
phi : -83.171011  x : 7.939316  y : 0.006205  deg : 141.911760
phi : -83.152656  x : 7.943433  y : 0.007012  deg : 131.934088
phi : -83.170945  x : 7.939297  y : 0.006016  deg : 143.590541
phi : -83.139909  x : 7.937295  y : 0.006087  deg : 144.455144
phi : -83.181940  x : 7.936066  y : 0.002913  deg : 149.641443
phi : -83.141498  x : 7.941073  y : 0.002938  deg : 145.395363
phi : -83.158620  x : 7.940095  y : 0.003373  deg : 138.777663
phi : -83.156113  x : 7.934071  y : 0.003052  deg : 145.849125
phi : -83.163148  x : 7.936070  y : 0.002985  deg : 146.076505
phi : -83.149733  x : 7.940090  y : 0.003278  deg : 139.618525
phi : -83.171129  x : 7.927038  y : 0.002348  deg : 155.406848
phi : -83.156867  x : 7.936064  y : 0.002857  deg : 145.441139
phi : -83.137140  x : 7.935055  y : 0.002676  deg : 147.890676
phi : -83.166803  x : 7.941093  y : 0.003317  deg : 136.527546
phi : -83.158260  x : 7.938053  y : 0.002557  deg : 149.386568
phi : 25.341735  x : 7.934057  y : 0.002744  deg : 149.117387
phi : 29.748282  x : 7.942104  y : 0.003480  deg : 132.560123
phi : 84.866785  x : 7.940133  y : 0.003989  deg : 145.437733
phi : -83.176298  x : 7.940310  y : 0.006093  deg : 141.671588
phi : -83.152926  x : 7.938346  y : 0.006538  deg : 139.696585
phi : -83.162955  x : 7.940357  y : 0.006533  deg : 138.249139
phi : 83.997636  x : 7.940265  y : 0.005636  deg : 145.610155
phi : 81.845442  x : 7.940263  y : 0.005616  deg : 143.628783
phi : -83.151506  x : 7.940427  y : 0.007145  deg : 134.410878
phi : -83.136453  x : 7.943434  y : 0.007023  deg : 130.922968
phi : -83.138732  x : 7.936342  y : 0.006609  deg : 142.322527
phi : -83.159016  x : 7.935292  y : 0.006158  deg : 145.314137
phi : -83.155436  x : 7.936348  y : 0.006665  deg : 141.272519
phi : -83.172164  x : 7.934299  y : 0.006278  deg : 144.541486
phi : -83.170158  x : 7.942341  y : 0.006276  deg : 141.288511
phi : -83.150206  x : 7.940328  y : 0.006263  deg : 141.758073
phi : -83.151567  x : 7.943479  y : 0.007378  deg : 130.813301
phi : -83.173138  x : 7.941373  y : 0.006628  deg : 137.549750
phi : -83.177592  x : 7.940285  y : 0.005836  deg : 143.667811
phi : -83.166803  x : 7.936314  y : 0.006330  deg : 143.823792
phi : -83.160363  x : 7.936466  y : 0.007711  deg : 134.329602
phi : -83.161126  x : 7.939270  y : 0.005737  deg : 143.103371
phi : -83.153064  x : 7.939307  y : 0.006111  deg : 144.500827
phi : -83.143588  x : 7.937283  y : 0.005965  deg : 143.317321
phi : -83.169416  x : 7.938285  y : 0.005942  deg : 145.750503
phi : -83.216301  x : 7.938318  y : 0.006270  deg : 143.945604
phi : -83.099785  x : 7.943443  y : 0.007090  deg : 130.354294
phi : -83.177101  x : 7.935467  y : 0.007778  deg : 136.377235
phi : -83.098987  x : 7.941292  y : 0.005867  deg : 144.043514
phi : -83.145171  x : 7.944355  y : 0.006298  deg : 139.542414
phi : -83.166803  x : 7.938323  y : 0.006325  deg : 143.894829
phi : -83.110922  x : 7.935378  y : 0.006999  deg : 140.568919
phi : -83.173262  x : 7.943588  y : 0.008164  deg : 128.015225
phi : -83.128871  x : 7.939448  y : 0.007382  deg : 137.299447
phi : -83.174167  x : 7.939315  y : 0.006188  deg : 144.927327
phi : -83.111954  x : 7.935280  y : 0.006021  deg : 145.184659
phi : -83.004887  x : 7.942295  y : 0.005846  deg : 136.215551
phi : -83.118285  x : 7.936184  y : 0.004853  deg : 145.650901
phi : -83.081749  x : 7.942224  y : 0.005092  deg : 139.463048
phi : 84.106547  x : 7.940250  y : 0.005475  deg : 137.514588
phi : 84.138991  x : 7.939163  y : 0.004457  deg : 147.059736
phi : 84.085426  x : 7.941242  y : 0.005343  deg : 138.054074
phi : 84.120182  x : 7.941221  y : 0.005105  deg : 140.285916
phi : 84.125663  x : 7.942246  y : 0.005331  deg : 137.726064
phi : 84.084661  x : 7.935191  y : 0.004985  deg : 145.351812
phi : 84.120828  x : 7.942243  y : 0.005309  deg : 137.998462
phi : 84.122921  x : 7.938169  y : 0.004569  deg : 146.773982
phi : 84.135312  x : 7.941242  y : 0.005336  deg : 138.560766
phi : 84.117918  x : 7.936165  y : 0.004589  deg : 147.888098
phi : 84.097021  x : 7.941182  y : 0.004633  deg : 144.245965
phi : 84.125983  x : 7.936240  y : 0.005542  deg : 140.282575
phi : 84.128723  x : 7.938271  y : 0.005792  deg : 136.389230
phi : 84.082294  x : 7.941217  y : 0.005060  deg : 140.830420
phi : 84.086486  x : 7.941248  y : 0.005406  deg : 137.742824
phi : 84.084137  x : 7.940203  y : 0.004928  deg : 143.038561
phi : 84.124974  x : 7.929171  y : 0.004929  deg : 149.018884
phi : 84.123143  x : 7.938183  y : 0.004755  deg : 145.101117
phi : 84.124589  x : 7.941232  y : 0.005223  deg : 139.421551
phi : 84.133012  x : 7.933144  y : 0.004392  deg : 150.491836
phi : 84.122117  x : 7.941290  y : 0.005847  deg : 134.062695
phi : 84.120558  x : 7.932306  y : 0.006447  deg : 136.059508
phi : 84.088833  x : 7.930158  y : 0.004694  deg : 149.904743
phi : 84.123304  x : 7.938166  y : 0.004540  deg : 146.300350
phi : 84.127721  x : 7.940184  y : 0.004697  deg : 144.509960
phi : 84.130274  x : 7.934207  y : 0.005220  deg : 143.963554
phi : 84.087665  x : 7.939249  y : 0.005510  deg : 138.567837
phi : 84.127925  x : 7.942226  y : 0.005114  deg : 138.941790
phi : 84.091259  x : 7.939257  y : 0.005594  deg : 137.738496
phi : 84.131941  x : 7.934220  y : 0.005382  deg : 143.072833
phi : 84.087912  x : 7.936207  y : 0.005138  deg : 143.395181
phi : 84.123737  x : 7.939270  y : 0.005733  deg : 136.857526
phi : 84.127925  x : 7.940162  y : 0.004400  deg : 146.794872
phi : 84.121422  x : 7.935283  y : 0.006056  deg : 136.403789
phi : 84.120453  x : 7.942240  y : 0.005274  deg : 137.782685
phi : 84.091930  x : 7.937170  y : 0.004620  deg : 146.794872
phi : 84.092264  x : 7.945236  y : 0.005089  deg : 137.190881
phi : 84.094763  x : 7.936185  y : 0.004864  deg : 145.390921
phi : 84.060460  x : 7.935179  y : 0.004825  deg : 146.742647
phi : 84.124316  x : 7.938255  y : 0.005617  deg : 138.552312
phi : 84.125890  x : 7.937194  y : 0.004940  deg : 144.002560
phi : 84.091682  x : 7.923235  y : 0.006014  deg : 144.020637
phi : 84.080332  x : 7.920255  y : 0.006380  deg : 143.925979
phi : -60.126482  x : 7.924304  y : 0.006790  deg : 140.374085
phi : -67.551002  x : 7.915728  y : 0.011101  deg : 132.245861
phi : 84.118563  x : 7.896581  y : 0.010976  deg : 132.191592
phi : -64.176623  x : 7.859858  y : 0.015533  deg : 139.175114
phi : 88.691359  x : 7.843051  y : 0.025455  deg : 132.787600
phi : 87.833465  x : 7.844931  y : 0.035136  deg : 121.233450
phi : 87.848250  x : 7.808581  y : 0.037200  deg : 128.252387
phi : 87.694195  x : 7.810195  y : 0.080062  deg : 111.629541
phi : 43.693101  x : 3.263116  y : 0.102831  deg : -0.743613
phi : 38.258148  x : 3.232380  y : 0.114733  deg : -1.128557
phi : 34.770296  x : 3.204693  y : 0.127452  deg : -0.772476
phi : 13.373419  x : 3.133931  y : 0.137108  deg : -0.863961
phi : 13.689568  x : 7.763701  y : 0.171542  deg : 89.022216
phi : 16.009819  x : 7.758239  y : 0.185948  deg : 84.184601
phi : 16.585741  x : 7.735369  y : 0.197155  deg : 85.813228
phi : 19.891067  x : 7.771880  y : 0.212851  deg : 64.483112
phi : 81.641079  x : 7.712175  y : 0.224459  deg : 80.551335
phi : 88.970219  x : 7.699615  y : 0.231106  deg : 80.926475
phi : 89.033895  x : 7.569123  y : 0.229104  deg : 105.499712
phi : 89.420477  x : 7.668243  y : 0.232298  deg : 85.750041
phi : 89.211948  x : 7.624399  y : 0.223367  deg : 97.260333
phi : 89.128990  x : 7.652245  y : 0.217179  deg : 94.264500
phi : 19.898048  x : 7.758890  y : 0.219413  deg : 17.447387
phi : 20.280273  x : 7.556093  y : 0.190357  deg : 115.289246
phi : 20.377872  x : 7.571533  y : 0.180669  deg : 115.386640
phi : 19.746024  x : 7.723751  y : 0.174973  deg : 90.650312
phi : 19.017759  x : 7.739266  y : 0.165827  deg : 91.043567
phi : 19.427586  x : 7.767444  y : 0.152322  deg : 89.775625
phi : 18.967077  x : 7.780078  y : 0.142402  deg : 91.826584
phi : 20.159164  x : 7.806866  y : 0.126729  deg : 91.478290
phi : 17.168077  x : 7.805468  y : 0.115036  deg : 99.152030
phi : 89.210303  x : 6.653249  y : 0.025921  deg : -1.102634
phi : 89.251034  x : 6.840193  y : 0.021178  deg : -1.046100
phi : 89.263447  x : 6.853157  y : 0.018956  deg : -0.946924
phi : 89.236491  x : 6.924126  y : 0.016493  deg : -0.878241
phi : 89.217920  x : 6.939102  y : 0.014698  deg : -0.793726
phi : 89.234398  x : 6.906092  y : 0.014210  deg : -0.744246
phi : 40.732614  x : 6.981072  y : 0.012095  deg : -0.680086
phi : -18.334566  x : 7.189047  y : 0.008754  deg : -0.618459
phi : 84.284834  x : 7.205040  y : 0.007992  deg : -0.576007
phi : 84.291982  x : 7.378025  y : 0.005564  deg : -0.512528
phi : 84.252061  x : 7.916781  y : 0.047861  deg : 105.846027
phi : 23.252671  x : 7.911056  y : 0.045705  deg : 114.303396
phi : 22.398473  x : 7.821522  y : 0.040432  deg : 148.985841
phi : 21.847306  x : 7.818033  y : 0.003483  deg : 162.653493
phi : 23.570819  x : 7.567008  y : 0.002681  deg : -0.354795
