phi : 75.929301  x : 7.936482  y : 0.007838  deg : 144.215223
phi : 75.827664  x : 7.939396  y : 0.006937  deg : 146.469931
phi : 76.051868  x : 7.934605  y : 0.008919  deg : 139.983407
phi : 75.723362  x : 7.939624  y : 0.008705  deg : 137.045137
phi : 75.863441  x : 7.937621  y : 0.008825  deg : 137.947650
phi : 75.877410  x : 7.943603  y : 0.008270  deg : 136.408096
phi : 75.894017  x : 7.941512  y : 0.007753  deg : 140.949015
phi : 75.799724  x : 7.938497  y : 0.007831  deg : 142.743443
phi : 75.899479  x : 7.936435  y : 0.007447  deg : 145.817888
phi : 75.868553  x : 7.943613  y : 0.008337  deg : 136.089486
phi : 75.839588  x : 7.937650  y : 0.009028  deg : 137.261107
phi : 75.829912  x : 7.937460  y : 0.007602  deg : 144.319340
phi : 75.801196  x : 7.946531  y : 0.007556  deg : 127.456840
phi : 75.862766  x : 7.939090  y : 0.003318  deg : 145.881700
phi : 75.851847  x : 7.941062  y : 0.002702  deg : 149.125148
phi : 75.906258  x : 7.946079  y : 0.002925  deg : 142.895051
phi : 75.883174  x : 7.939118  y : 0.003799  deg : 136.179343
phi : 75.852512  x : 7.945126  y : 0.003720  deg : 131.621682
phi : 75.860383  x : 7.938089  y : 0.003319  deg : 143.681655
phi : 75.791928  x : 7.940075  y : 0.003006  deg : 146.377894
phi : 75.927827  x : 7.939033  y : 0.002015  deg : 149.107311
phi : 75.705678  x : 7.935024  y : 0.001782  deg : 150.679151
phi : 75.883521  x : 7.940017  y : 0.001425  deg : 148.888732
phi : 84.542757  x : 7.939018  y : 0.001468  deg : 149.371067
phi : 84.606775  x : 7.939024  y : 0.001714  deg : 145.139775
phi : 14.366709  x : 7.936021  y : 0.001648  deg : 147.524361
phi : 42.668352  x : 7.946019  y : 0.001444  deg : 144.467911
phi : 24.243191  x : 7.942026  y : 0.001738  deg : 139.283247
phi : -20.924018  x : 7.936016  y : 0.001418  deg : 150.480815
phi : -30.295767  x : 7.940021  y : 0.001591  deg : 145.230127
phi : -10.431632  x : 7.931015  y : 0.001441  deg : 152.803589
phi : -30.429690  x : 7.940024  y : 0.001680  deg : 142.395894
phi : -32.604491  x : 7.939025  y : 0.001740  deg : 141.115446
phi : -15.595956  x : 7.941018  y : 0.001463  deg : 147.829050
phi : -41.122691  x : 7.933017  y : 0.001517  deg : 150.702684
phi : 5.760875  x : 7.935016  y : 0.001453  deg : 150.718841
phi : 21.285990  x : 7.937028  y : 0.001892  deg : 139.778786
phi : 27.057224  x : 7.928015  y : 0.001486  deg : 153.567603
phi : 89.412707  x : 7.933014  y : 0.001345  deg : 153.849746
phi : 20.125402  x : 7.936016  y : 0.001444  deg : 149.706841
phi : 89.404213  x : 7.929014  y : 0.001389  deg : 154.629195
phi : 89.421623  x : 7.948030  y : 0.001763  deg : 132.806650
phi : 89.404079  x : 7.939020  y : 0.001550  deg : 146.293763
phi : -41.634904  x : 7.941018  y : 0.001463  deg : 146.829043
phi : 89.382296  x : 7.944031  y : 0.001854  deg : 134.352938
phi : 89.411312  x : 7.945022  y : 0.001540  deg : 142.395894
phi : 2.500000  x : 7.938016  y : 0.001424  deg : 149.434186
phi : -37.436520  x : 7.935019  y : 0.001585  deg : 147.352856
phi : -43.272783  x : 7.937019  y : 0.001541  deg : 147.598159
phi : -26.751720  x : 7.938025  y : 0.001752  deg : 141.880945
phi : -33.728953  x : 7.938021  y : 0.001602  deg : 146.519681
phi : -20.631517  x : 7.938017  y : 0.001443  deg : 149.416573
phi : -35.404263  x : 7.939018  y : 0.001496  deg : 147.594469
phi : -15.508603  x : 7.938019  y : 0.001540  deg : 146.326840
